IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
64.110.86.92,8880,FALSE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,164,3.76
193.123.233.143,2083,FALSE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,193,2.60
158.179.164.17,2052,FALSE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,450,0.15
